"scalar1of1Gradient:0","scalar1of1Gradient:1","scalar1of1","Result:0","Result:1","Result:2","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","vtkOriginalPointIds","Points:0","Points:1","Points:2"
-0.00527098448830932,0.000554193298388195,1303.96902142044,-0.00527098448830932,0.000554193298388195,0,13905.4980245349,0,0,-1.20933694053881e-005,0,0,0,0,-1,6230,58967.90625,67335.5,-2.27107436047251e-013
-0.00521215611452967,0.00107654548282646,1303.98771310088,-0.00521215611452967,0.00107654548282646,0,14572.5750527405,0,0,1.46108383280584e-006,0,0,0,0,-1,6231,58964.4375,67336,-2.27107436047251e-013
-0.00522306613598001,0.00151878829381997,1304.00670672998,-0.00522306613598001,0.00151878829381997,0,15236.877800795,0,0,-2.31749179519045e-006,0,0,0,0,-1,6232,58961,67337,-2.27107436047251e-013
-0.00524160691378993,0.00191137638682751,1304.02617902383,-0.00524160691378993,0.00191137638682751,0,15886.8630931954,0,0,6.3605307084182e-006,0,0,0,0,-1,6233,58957.625,67338,-2.27107436047251e-013
-0.00527518524991397,0.00226566809582411,1304.04645517088,-0.00527518524991397,0.00226566809582411,0,16520.5588129803,0,0,-2.24046409413557e-005,0,0,0,0,-1,6234,58954.34375,67339.5,-2.27107436047251e-013
-0.00521654461801638,0.00263048286408634,1304.06721821461,-0.00521654461801638,0.00263048286408634,0,17136.3818455114,0,0,-3.51691679836366e-005,0,0,0,0,-1,6235,58951.15625,67341,-2.27107436047251e-013
-0.00491350380645312,0.00266617212888485,1304.08770998402,-0.00491350380645312,0.00266617212888485,0,17741.5492824957,0,0,1.2976610689922e-005,0,0,0,0,-1,6236,58948.03125,67342.5,-2.27107436047251e-013
-0.00473970122134502,0.00263742054792769,1304.09452991264,-0.00473970122134502,0.00263742054792769,0,18348.0868815866,0,0,-5.27179181112384e-006,0,0,0,0,-1,6237,58946.96875,67343,-2.27107436047251e-013
-0.00460991072451696,0.00261596990034896,1304.09920725117,-0.00460991072451696,0.00261596990034896,0,18946.6745915027,0,0,-1.76401898150721e-005,0,0,0,0,-1,6238,58946.25,67343.5,-2.27107436047251e-013
-0.00442508478893854,0.00258518045476399,1304.1053974954,-0.00442508478893854,0.00258518045476399,0,19532.16776105,0,0,-3.38121846985018e-005,0,0,0,0,-1,6239,58945.3125,67344,-2.27107436047251e-013
-0.00436528900606796,0.00257512067639845,1304.10730105217,-0.00436528900606796,0.00257512067639845,0,20118.9044652053,0,0,-3.87377187765941e-005,0,0,0,0,-1,6240,58945.03125,67344.5,-2.27107436047251e-013
-0.00428007744069621,0.00253999056469051,1304.11160901032,-0.00428007744069621,0.00253999056469051,0,20279.1334813738,0,0,-2.83667044110307e-005,0,0,0,0,-1,6241,58944.25,67344.5,-2.27107436047251e-013
-0.00422915216614594,0.00252048584187225,1304.11430466751,-0.00422915216614594,0.00252048584187225,0,20383.3980184728,0,0,3.50365287219045e-005,0,0,0,0,-1,6242,58943.78125,67345,-2.27107436047251e-013
-0.0040066818887169,0.00248330468927543,1304.13017728782,-0.0040066818887169,0.00248330468927543,0,21101.5253356381,0,0,8.90910432774756e-006,0,0,0,0,-1,6243,58940.75,67347,-2.27107436047251e-013
-0.00393824012688353,0.00248047892185371,1304.14648216155,-0.00393824012688353,0.00248047892185371,0,21851.557742549,0,0,1.00587368645735e-005,0,0,0,0,-1,6244,58937.75,67348.5,-2.27107436047251e-013
-0.00389013520370857,0.00251203887795266,1304.16302853873,-0.00389013520370857,0.00251203887795266,0,22611.1851199931,0,0,3.04174604187102e-006,0,0,0,0,-1,6245,58934.78125,67350.5,-2.27107436047251e-013
-0.00383671511273593,0.00256227553881741,1304.17906936391,-0.00383671511273593,0.00256227553881741,0,23374.6819869416,0,0,-1.45141882533263e-006,0,0,0,0,-1,6246,58931.8125,67352.5,-2.27107436047251e-013
-0.00377704829947485,0.00258918589942036,1304.19536060364,-0.00377704829947485,0.00258918589942036,0,24141.0046375978,0,0,6.59198597113353e-006,0,0,0,0,-1,6247,58928.90625,67354.5,-2.27107436047251e-013
-0.00369576140012965,0.00260917670613597,1304.2114003988,-0.00369576140012965,0.00260917670613597,0,24913.0734765504,0,0,-8.73246849997574e-006,0,0,0,0,-1,6248,58926,67356.5,-2.27107436047251e-013
-0.00357749666286422,0.0025961023774914,1304.22713859605,-0.00357749666286422,0.0025961023774914,0,25694.5819473056,0,0,9.08096424930566e-007,0,0,0,0,-1,6249,58923.125,67358.5,-2.27107436047251e-013
-0.00344592268428097,0.00257334908121621,1304.24275408179,-0.00344592268428097,0.00257334908121621,0,26494.4390366992,0,0,-5.80625797346355e-006,0,0,0,0,-1,6250,58920.25,67360.5,-2.27107436047251e-013
-0.00340848793036827,0.00256554074108176,1304.24650959123,-0.00340848793036827,0.00256554074108176,0,26745.5895190769,0,0,-2.09098251353945e-007,0,0,0,0,-1,6251,58919.5625,67361.5,-2.27107436047251e-013
-0.00325775769341163,0.00253589077013603,1304.2611425649,-0.00325775769341163,0.00253589077013603,0,27574.3362472069,0,0,-4.5057686831352e-006,0,0,0,0,-1,6252,58916.75,67363.5,-2.27107436047251e-013
-0.0031069146891934,0.00250587705443857,1304.27554689258,-0.0031069146891934,0.00250587705443857,0,28430.7284795762,0,0,5.33120716657354e-006,0,0,0,0,-1,6253,58913.96875,67365.5,-2.27107436047251e-013
-0.00293649007274348,0.0024454860483765,1304.28933003951,-0.00293649007274348,0.0024454860483765,0,29316.4868015551,0,0,2.54117099070792e-007,0,0,0,0,-1,6254,58911.25,67368,-2.27107436047251e-013
-0.00273888045014343,0.00237678610729977,1304.30255246563,-0.00273888045014343,0.00237678610729977,0,30241.6713552053,0,0,3.02328175255783e-007,0,0,0,0,-1,6255,58908.53125,67370,-2.27107436047251e-013
-0.00255368176226735,0.00232891282856762,1304.31512689205,-0.00255368176226735,0.00232891282856762,0,31216.6218868667,0,0,-1.96492996671336e-007,0,0,0,0,-1,6256,58905.90625,67372.5,-2.27107436047251e-013
-0.0024653299909879,0.00230371983564571,1304.32096611061,-0.0024653299909879,0.00230371983564571,0,31863.5373028846,0,0,5.14690747881723e-006,0,0,0,0,-1,6257,58904.6875,67373.5,-2.27107436047251e-013
-0.00227046119072509,0.00223277814411763,1304.33232940211,-0.00227046119072509,0.00223277814411763,0,32911.3627149656,0,0,2.40057541849707e-006,0,0,0,0,-1,6258,58902.125,67376,-2.27107436047251e-013
-0.00209527070764846,0.00217240388795076,1304.3433014065,-0.00209527070764846,0.00217240388795076,0,34021.6356939092,0,0,-1.15249009613621e-006,0,0,0,0,-1,6259,58899.625,67378.5,-2.27107436047251e-013
